leg,pay_date,obs_date,obs_time_model,obs_time_report,xva_state_at_obs,ore_flow_leg,ore_flow_pay_date,ore_flow_pay_time_model,ore_flow_pay_time_report,ore_flow_start_date,ore_flow_end_date,ore_flow_fixing_date,ore_flow_accrual,ore_flow_coupon,ore_flow_notional,ore_flow_sign,ore_flow_amount,py_portfolio_pay_date,py_portfolio_pay_time_model,py_portfolio_pay_time_report,py_portfolio_start_date,py_portfolio_end_date,py_portfolio_fixing_date,py_portfolio_accrual,py_portfolio_coupon,py_portfolio_notional,py_portfolio_sign,py_portfolio_amount,py_active_pay_date,py_active_pay_time_model,py_active_pay_time_report,py_active_start_date,py_active_end_date,py_active_fixing_date,py_active_accrual,py_active_coupon,py_active_notional,py_active_sign,py_active_amount,diff_portfolio_vs_ore_amount,diff_active_vs_ore_amount,diff_active_vs_portfolio_amount
float,2024-09-02,2016-03-07,0.0849315068,0.0846994536,dead,float,2024-09-02,8.580821917808219,8.573770491803279,2024-03-01,2024-09-02,2024-03-01,0.5138888889,0.0196102763,10000000.0,-1.0,-100775.0309,,,,,,,,,,,,,,,,,,,,,,,,,
float,2025-02-28,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2025-02-28,9.071494872370687,9.063275694288496,2024-08-30,2025-02-28,2024-08-26,0.5055555555555555,0.0,10000000.0,-1.0,0.0,2025-02-28,9.071494872370687,9.063275694288496,2024-08-30,2025-02-28,2024-08-30,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,-99132.768
float,2025-03-03,2016-03-07,0.0849315068,0.0846994536,dead,float,2025-03-03,9.07945205479452,9.071494872370687,2024-09-02,2025-03-03,2024-09-02,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,,,,,,,,,,,,,,,,,,,,,,,
float,2025-08-29,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2025-08-29,9.570125009356989,9.561905831274796,2025-02-28,2025-08-29,2025-02-24,0.5055555555555555,0.0,10000000.0,-1.0,0.0,2025-08-29,9.570125009356989,9.561905831274796,2025-02-28,2025-08-29,2025-02-28,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,-99132.768
float,2025-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2025-09-01,9.578082191780823,9.570125009356989,2025-03-03,2025-09-01,2025-03-03,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,,,,,,,,,,,,,,,,,,,,,,,
float,2026-02-27,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2026-02-27,10.06875514634329,10.060535968261098,2025-08-29,2026-02-27,2025-08-25,0.5055555555555555,0.0,10000000.0,-1.0,0.0,2026-02-27,10.06875514634329,10.060535968261098,2025-08-29,2026-02-27,2025-08-29,0.5055555556,0.0196107658,10000000.0,-1.0,-99143.3161,,,-99143.3161
float,2026-03-02,2016-03-07,0.0849315068,0.0846994536,dead,float,2026-03-02,10.076712328767123,10.06875514634329,2025-09-01,2026-03-02,2025-09-01,0.5055555556,0.0196107658,10000000.0,-1.0,-99143.3161,,,,,,,,,,,,,,,,,,,,,,,,,
float,2026-08-29,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2026-08-29,10.570125009356989,10.561905831274796,2026-02-27,2026-08-29,2026-02-23,0.5083333333333333,0.0,10000000.0,-1.0,0.0,2026-08-29,10.570125009356989,10.561905831274796,2026-02-27,2026-08-29,2026-02-27,0.5083333333,0.0196272953,10000000.0,-1.0,-99772.0843,,,-99772.0843
float,2026-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2026-09-01,10.578082191780823,10.570125009356989,2026-03-02,2026-09-01,2026-03-02,0.5083333333,0.0196272953,10000000.0,-1.0,-99772.0843,,,,,,,,,,,,,,,,,,,,,,,,,
float,2027-02-26,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2027-02-26,11.066015420315892,11.057796242233701,2026-08-29,2027-02-26,2026-08-25,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2027-02-26,11.066015420315892,11.057796242233701,2026-08-29,2027-02-26,2026-08-29,0.5027777778,0.0196262288,10000000.0,-1.0,-98676.3168,,,-98676.3168
